Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
21/12/2022,"16,856.00","16,925.00","16,934.00","16,794.00",0.95K,-0.41%
20/12/2022,"16,925.00","16,448.00","17,057.00","16,413.00",1.46K,2.90%
19/12/2022,"16,448.00","16,757.00","16,825.00","16,320.00",2.04K,-1.84%
18/12/2022,"16,757.00","16,793.00","16,851.00","16,680.00",0.61K,-0.21%
17/12/2022,"16,793.00","16,642.00","16,811.00","16,609.00",1.23K,0.91%
16/12/2022,"16,642.00","17,372.00","17,543.00","16,554.00",3.01K,-4.20%
15/12/2022,"17,372.00","17,810.00","17,867.00","17,311.00",1.92K,-2.46%
14/12/2022,"17,810.00","17,785.00","18,373.00","17,688.00",3.08K,0.14%
13/12/2022,"17,785.00","17,228.00","17,981.00","17,107.00",5.96K,3.23%
12/12/2022,"17,228.00","17,109.00","17,258.00","16,899.00",2.47K,0.70%
12/11/2022,"17,109.00","17,132.00","17,294.00","17,095.00",2.07K,-0.13%
12/10/2022,"17,132.00","17,135.00","17,232.00","17,109.00",0.37K,-0.02%
12/09/2022,"17,135.00","17,246.00","17,326.00","17,090.00",1.42K,-0.64%
12/08/2022,"17,246.00","16,844.00","17,321.00","16,759.00",1.76K,2.39%
12/07/2022,"16,844.00","17,096.00","17,137.00","16,720.00",1.07K,-1.47%
12/06/2022,"17,096.00","16,974.00","17,109.00","16,917.00",0.77K,0.72%
12/05/2022,"16,974.00","17,128.00","17,420.00","16,886.00",1.46K,-0.90%
12/04/2022,"17,128.00","16,890.00","17,199.00","16,886.00",1.41K,1.41%
12/03/2022,"16,890.00","17,091.00","17,135.00","16,870.00",0.69K,-1.18%
12/02/2022,"17,091.00","16,980.00","17,100.00","16,808.00",1.53K,0.65%
12/01/2022,"16,980.00","17,182.00","17,270.00","16,872.00",1.56K,-1.18%
30/11/2022,"17,182.00","16,452.00","17,238.00","16,446.00",2.73K,4.44%
29/11/2022,"16,452.00","16,215.00","16,537.00","16,102.00",1.63K,1.46%
28/11/2022,"16,215.00","16,432.00","16,487.00","16,014.00",1.74K,-1.32%
27/11/2022,"16,432.00","16,459.00","16,600.00","16,422.00",0.49K,-0.16%
26/11/2022,"16,459.00","16,519.00","16,697.00","16,390.00",0.78K,-0.36%
25/11/2022,"16,519.00","16,606.00","16,617.00","16,354.00",1.16K,-0.52%
24/11/2022,"16,606.00","16,619.00","16,792.00","16,468.00",1.21K,-0.08%
23/11/2022,"16,619.00","16,215.00","16,676.00","16,168.00",2.90K,2.49%
22/11/2022,"16,215.00","15,766.00","16,279.00","15,616.00",3.20K,2.85%
21/11/2022,"15,766.00","16,281.00","16,281.00","15,501.00",4.31K,-3.16%
20/11/2022,"16,281.00","16,695.00","16,742.00","16,185.00",1.18K,-2.48%
19/11/2022,"16,695.00","16,645.00","16,811.00","16,600.00",0.61K,0.37%
18/11/2022,"16,634.00","16,827.00","16,837.00","16,550.00",1.81K,-0.43%
17/11/2022,"16,705.00","16,676.00","16,735.00","16,413.00",1.48K,1.05%
16/11/2022,"16,531.00","16,886.00","17,002.00","16,384.00",4.34K,-2.10%
15/11/2022,"16,886.00","16,627.00","17,124.00","16,554.00",6.53K,1.56%
14/11/2022,"16,627.00","16,345.00","17,188.00","15,829.00",6.71K,1.73%
13/11/2022,"16,345.00","16,812.00","16,956.00","16,257.00",2.54K,-2.78%
11/12/2022,"16,812.00","17,045.00","17,105.00","16,637.00",1.25K,-1.37%
11/11/2022,"17,045.00","17,579.00","17,665.00","16,403.00",8.03K,-3.04%
11/10/2022,"17,579.00","15,907.00","18,155.00","15,760.00",20.73K,10.51%
11/09/2022,"15,907.00","18,557.00","18,597.00","15,603.00",18.08K,-14.28%
11/08/2022,"18,557.00","20,610.00","20,692.00","16,950.00",20.52K,-9.96%
11/07/2022,"20,610.00","20,932.00","21,083.00","20,423.00",1.84K,-1.54%
11/06/2022,"20,932.00","21,313.00","21,378.00","20,913.00",1.35K,-1.79%
11/05/2022,"21,313.00","21,168.00","21,470.00","21,105.00",1.62K,0.68%
11/04/2022,"21,168.00","20,223.00","21,290.00","20,206.00",3.81K,4.67%
11/03/2022,"20,223.00","20,168.00","20,403.00","20,073.00",1.24K,0.27%
11/02/2022,"20,168.00","20,500.00","20,816.00","20,080.00",2.58K,-1.62%
11/01/2022,"20,500.00","20,509.00","20,689.00","20,357.00",1.67K,-0.04%
31/10/2022,"20,509.00","20,647.00","20,843.00","20,268.00",1.71K,-0.67%
30/10/2022,"20,647.00","20,833.00","20,949.00","20,535.00",1.09K,-0.89%
29/10/2022,"20,833.00","20,611.00","21,074.00","20,576.00",1.83K,1.08%
28/10/2022,"20,611.00","20,303.00","20,764.00","20,055.00",2.28K,1.52%
27/10/2022,"20,303.00","20,788.00","20,892.00","20,226.00",2.75K,-2.33%
26/10/2022,"20,788.00","20,104.00","21,011.00","20,077.00",3.90K,3.40%
25/10/2022,"20,104.00","19,340.00","20,430.00","19,254.00",2.76K,3.95%
24/10/2022,"19,340.00","19,585.00","19,601.00","19,175.00",1.31K,-1.25%
23/10/2022,"19,585.00","19,219.00","19,707.00","19,105.00",1.52K,1.90%
22/10/2022,"19,219.00","19,175.00","19,272.00","19,125.00",0.75K,0.23%
21/10/2022,"19,175.00","19,057.00","19,260.00","18,680.00",1.19K,0.62%
20/10/2022,"19,057.00","19,132.00","19,345.00","18,940.00",1.27K,-0.39%
