Date,Close,Open,High,Low,Volume,Day
21/12/2022,"16,856.00","16,925.00","16,934.00","16,794.00",0.95K,#VALUE!
20/12/2022,"16,925.00","16,448.00","17,057.00","16,413.00",1.46K,
19/12/2022,"16,448.00","16,757.00","16,825.00","16,320.00",2.04K,
18/12/2022,"16,757.00","16,793.00","16,851.00","16,680.00",0.61K,
17/12/2022,"16,793.00","16,642.00","16,811.00","16,609.00",1.23K,
16/12/2022,"16,642.00","17,372.00","17,543.00","16,554.00",3.01K,
15/12/2022,"17,372.00","17,810.00","17,867.00","17,311.00",1.92K,
14/12/2022,"17,810.00","17,785.00","18,373.00","17,688.00",3.08K,
13/12/2022,"17,785.00","17,228.00","17,981.00","17,107.00",5.96K,
12/12/2022,"17,228.00","17,109.00","17,258.00","16,899.00",2.47K,
11/12/2022,"17,109.00","17,132.00","17,294.00","17,095.00",2.07K,
10/12/2022,"17,132.00","17,135.00","17,232.00","17,109.00",0.37K,
09/12/2022,"17,135.00","17,246.00","17,326.00","17,090.00",1.42K,
08/12/2022,"17,246.00","16,844.00","17,321.00","16,759.00",1.76K,
07/12/2022,"16,844.00","17,096.00","17,137.00","16,720.00",1.07K,
06/12/2022,"17,096.00","16,974.00","17,109.00","16,917.00",0.77K,
05/12/2022,"16,974.00","17,128.00","17,420.00","16,886.00",1.46K,
04/12/2022,"17,128.00","16,890.00","17,199.00","16,886.00",1.41K,
03/12/2022,"16,890.00","17,091.00","17,135.00","16,870.00",0.69K,
02/12/2022,"17,091.00","16,980.00","17,100.00","16,808.00",1.53K,
01/12/2022,"16,980.00","17,182.00","17,270.00","16,872.00",1.56K,
30/11/2022,"17,182.00","16,452.00","17,238.00","16,446.00",2.73K,
29/11/2022,"16,452.00","16,215.00","16,537.00","16,102.00",1.63K,
28/11/2022,"16,215.00","16,432.00","16,487.00","16,014.00",1.74K,
27/11/2022,"16,432.00","16,459.00","16,600.00","16,422.00",0.49K,
26/11/2022,"16,459.00","16,519.00","16,697.00","16,390.00",0.78K,
25/11/2022,"16,519.00","16,606.00","16,617.00","16,354.00",1.16K,
24/11/2022,"16,606.00","16,619.00","16,792.00","16,468.00",1.21K,
23/11/2022,"16,619.00","16,215.00","16,676.00","16,168.00",2.90K,
22/11/2022,"16,215.00","15,766.00","16,279.00","15,616.00",3.20K,
21/11/2022,"15,766.00","16,281.00","16,281.00","15,501.00",4.31K,
20/11/2022,"16,281.00","16,695.00","16,742.00","16,185.00",1.18K,
19/11/2022,"16,695.00","16,645.00","16,811.00","16,600.00",0.61K,
18/11/2022,"16,634.00","16,827.00","16,837.00","16,550.00",1.81K,
17/11/2022,"16,705.00","16,676.00","16,735.00","16,413.00",1.48K,
16/11/2022,"16,531.00","16,886.00","17,002.00","16,384.00",4.34K,
15/11/2022,"16,886.00","16,627.00","17,124.00","16,554.00",6.53K,
14/11/2022,"16,627.00","16,345.00","17,188.00","15,829.00",6.71K,
13/11/2022,"16,345.00","16,812.00","16,956.00","16,257.00",2.54K,
12/11/2022,"16,812.00","17,045.00","17,105.00","16,637.00",1.25K,
11/11/2022,"17,045.00","17,579.00","17,665.00","16,403.00",8.03K,
10/11/2022,"17,579.00","15,907.00","18,155.00","15,760.00",20.73K,
09/11/2022,"15,907.00","18,557.00","18,597.00","15,603.00",18.08K,
08/11/2022,"18,557.00","20,610.00","20,692.00","16,950.00",20.52K,
07/11/2022,"20,610.00","20,932.00","21,083.00","20,423.00",1.84K,
06/11/2022,"20,932.00","21,313.00","21,378.00","20,913.00",1.35K,
05/11/2022,"21,313.00","21,168.00","21,470.00","21,105.00",1.62K,
04/11/2022,"21,168.00","20,223.00","21,290.00","20,206.00",3.81K,
03/11/2022,"20,223.00","20,168.00","20,403.00","20,073.00",1.24K,
02/11/2022,"20,168.00","20,500.00","20,816.00","20,080.00",2.58K,
01/11/2022,"20,500.00","20,509.00","20,689.00","20,357.00",1.67K,
31/10/2022,"20,509.00","20,647.00","20,843.00","20,268.00",1.71K,
30/10/2022,"20,647.00","20,833.00","20,949.00","20,535.00",1.09K,
29/10/2022,"20,833.00","20,611.00","21,074.00","20,576.00",1.83K,
28/10/2022,"20,611.00","20,303.00","20,764.00","20,055.00",2.28K,
27/10/2022,"20,303.00","20,788.00","20,892.00","20,226.00",2.75K,
26/10/2022,"20,788.00","20,104.00","21,011.00","20,077.00",3.90K,
25/10/2022,"20,104.00","19,340.00","20,430.00","19,254.00",2.76K,
24/10/2022,"19,340.00","19,585.00","19,601.00","19,175.00",1.31K,
23/10/2022,"19,585.00","19,219.00","19,707.00","19,105.00",1.52K,
22/10/2022,"19,219.00","19,175.00","19,272.00","19,125.00",0.75K,
21/10/2022,"19,175.00","19,057.00","19,260.00","18,680.00",1.19K,
20/10/2022,"19,057.00","19,132.00","19,345.00","18,940.00",1.27K,
19/10/2022,"19,132.00","19,334.00","19,361.00","19,098.00",0.86K,
18/10/2022,"19,334.00","19,554.00","19,705.00","19,106.00",2.12K,
17/10/2022,"19,554.00","19,266.00","19,683.00","19,168.00",1.45K,
16/10/2022,"19,269.00","19,072.00","19,428.00","19,068.00",0.78K,
15/10/2022,"19,072.00","19,187.00","19,227.00","18,993.00",0.74K,
14/10/2022,"19,187.00","19,387.00","19,946.00","19,103.00",2.57K,
13/10/2022,"19,387.00","19,158.00","19,503.00","18,200.00",6.27K,
12/10/2022,"19,158.00","19,062.00","19,232.00","19,026.00",3.49K,
11/10/2022,"19,062.00","19,128.00","19,260.00","18,870.00",8.84K,
10/10/2022,"19,128.00","19,444.40","19,527.00","19,056.00",4.69K,
09/10/2022,"19,444.40","19,418.00","19,551.40","19,326.00",1.12K,
08/10/2022,"19,418.00","19,533.00","19,621.40","19,275.00",1.23K,
07/10/2022,"19,533.00","19,957.00","20,053.00","19,336.00",7.68K,
06/10/2022,"19,957.00","20,156.00","20,444.00","19,866.00",6.43K,
05/10/2022,"20,156.00","20,340.00","20,363.00","19,756.80",6.99K,
04/10/2022,"20,340.00","19,638.00","20,470.00","19,510.00",8.47K,
03/10/2022,"19,638.00","19,066.00","19,688.00","18,985.00",10.89K,
02/10/2022,"19,066.00","19,317.00","19,396.00","18,945.00",3.16K,
01/10/2022,"19,317.00","19,430.00","19,485.00","19,172.00",0.94K,
30/09/2022,"19,430.00","19,588.00","20,171.00","19,201.00",11.70K,
29/09/2022,"19,588.00","19,419.00","19,651.30","18,863.00",8.40K,
28/09/2022,"19,419.00","19,096.60","19,783.00","18,495.00",16.06K,
27/09/2022,"19,096.60","19,229.50","20,373.00","18,856.00",14.96K,
26/09/2022,"19,229.50","18,817.00","19,326.00","18,699.00",43.75K,
25/09/2022,"18,817.00","18,935.00","19,179.00","18,647.00",4.11K,
24/09/2022,"18,935.00","19,298.80","19,314.00","18,822.00",1.33K,
23/09/2022,"19,298.80","19,413.00","19,512.00","18,562.00",14.55K,
22/09/2022,"19,413.00","18,476.50","19,502.00","18,378.80",28.28K,
21/09/2022,"18,476.50","18,886.60","19,888.00","18,214.00",17.62K,
20/09/2022,"18,886.60","19,544.50","19,634.00","18,769.00",9.67K,
19/09/2022,"19,544.50","19,424.00","19,684.00","18,318.00",11.97K,
18/09/2022,"19,424.00","20,127.00","20,127.00","19,356.00",2.43K,
17/09/2022,"20,127.00","19,809.90","20,206.00","19,770.00",13.67K,
16/09/2022,"19,809.90","19,717.00","19,894.00","19,350.00",6.95K,
15/09/2022,"19,717.00","20,231.00","20,329.00","19,556.00",4.23K,
14/09/2022,"20,231.00","20,181.00","20,511.00","19,642.00",8.26K,
13/09/2022,"20,181.00","22,395.00","22,746.00","19,950.00",16.06K,
12/09/2022,"22,395.00","21,850.00","22,473.00","21,561.00",7.84K,
11/09/2022,"21,826.00","21,657.00","21,826.00","21,369.00",2.23K,
10/09/2022,"21,648.00","21,375.00","21,802.00","21,143.80",5.36K,
09/09/2022,"21,375.00","19,322.00","21,576.00","19,304.40",11.99K,
08/09/2022,"19,322.00","19,280.00","19,447.00","19,048.00",8.22K,
07/09/2022,"19,279.50","18,790.00","19,457.00","18,561.00",6.19K,
06/09/2022,"18,790.00","19,789.00","20,183.00","18,691.80",12.12K,
05/09/2022,"19,788.00","20,002.00","20,045.00","19,646.00",2.25K,
04/09/2022,"20,002.00","19,835.00","20,020.00","19,590.00",2.04K,
03/09/2022,"19,835.00","19,973.00","20,061.90","19,667.00",1.65K,
02/09/2022,"19,973.00","20,134.00","20,441.00","19,770.00",6.30K,
01/09/2022,"20,134.00","20,058.00","20,212.00","19,587.00",5.94K,
31/08/2022,"20,058.00","19,812.00","20,483.00","19,812.00",4.64K,
30/08/2022,"19,812.00","20,308.00","20,574.00","19,574.00",5.33K,
29/08/2022,"20,308.00","19,572.00","20,412.00","19,566.30",4.13K,
28/08/2022,"19,557.80","20,044.00","20,163.00","19,540.00",3.23K,
27/08/2022,"20,036.00","20,257.90","20,362.00","19,852.00",2.55K,
26/08/2022,"20,257.90","21,563.10","21,866.00","20,134.00",11.23K,
25/08/2022,"21,563.10","21,365.60","21,809.00","21,320.00",3.22K,
24/08/2022,"21,365.60","21,527.00","21,861.00","21,160.00",5.41K,
23/08/2022,"21,527.00","21,395.00","21,671.00","20,909.00",4.92K,
22/08/2022,"21,395.00","21,511.70","21,527.00","20,910.00",3.44K,
21/08/2022,"21,510.00","21,141.00","21,772.90","21,076.60",2.31K,
