Date,Close,Open,High,Low,Volume
21/12/2022,16856.00,16925.00,16934.00,16794.00,0.95K
20/12/2022,16925.00,16448.00,17057.00,16413.00,1.46K
19/12/2022,16448.00,16757.00,16825.00,16320.00,2.04K
18/12/2022,16757.00,16793.00,16851.00,16680.00,0.61K
17/12/2022,16793.00,16642.00,16811.00,16609.00,1.23K
16/12/2022,16642.00,17372.00,17543.00,16554.00,3.01K
15/12/2022,17372.00,17810.00,17867.00,17311.00,1.92K
14/12/2022,17810.00,17785.00,18373.00,17688.00,3.08K
13/12/2022,17785.00,17228.00,17981.00,17107.00,5.96K
12/12/2022,17228.00,17109.00,17258.00,16899.00,2.47K
11/12/2022,17109.00,17132.00,17294.00,17095.00,2.07K
10/12/2022,17132.00,17135.00,17232.00,17109.00,0.37K
09/12/2022,17135.00,17246.00,17326.00,17090.00,1.42K
08/12/2022,17246.00,16844.00,17321.00,16759.00,1.76K
07/12/2022,16844.00,17096.00,17137.00,16720.00,1.07K
06/12/2022,17096.00,16974.00,17109.00,16917.00,0.77K
05/12/2022,16974.00,17128.00,17420.00,16886.00,1.46K
04/12/2022,17128.00,16890.00,17199.00,16886.00,1.41K
03/12/2022,16890.00,17091.00,17135.00,16870.00,0.69K
02/12/2022,17091.00,16980.00,17100.00,16808.00,1.53K
01/12/2022,16980.00,17182.00,17270.00,16872.00,1.56K
30/11/2022,17182.00,16452.00,17238.00,16446.00,2.73K
29/11/2022,16452.00,16215.00,16537.00,16102.00,1.63K
28/11/2022,16215.00,16432.00,16487.00,16014.00,1.74K
27/11/2022,16432.00,16459.00,16600.00,16422.00,0.49K
26/11/2022,16459.00,16519.00,16697.00,16390.00,0.78K
25/11/2022,16519.00,16606.00,16617.00,16354.00,1.16K
24/11/2022,16606.00,16619.00,16792.00,16468.00,1.21K
23/11/2022,16619.00,16215.00,16676.00,16168.00,2.90K
22/11/2022,16215.00,15766.00,16279.00,15616.00,3.20K
21/11/2022,15766.00,16281.00,16281.00,15501.00,4.31K
20/11/2022,16281.00,16695.00,16742.00,16185.00,1.18K
19/11/2022,16695.00,16645.00,16811.00,16600.00,0.61K
18/11/2022,16634.00,16827.00,16837.00,16550.00,1.81K
17/11/2022,16705.00,16676.00,16735.00,16413.00,1.48K
16/11/2022,16531.00,16886.00,17002.00,16384.00,4.34K
15/11/2022,16886.00,16627.00,17124.00,16554.00,6.53K
14/11/2022,16627.00,16345.00,17188.00,15829.00,6.71K
13/11/2022,16345.00,16812.00,16956.00,16257.00,2.54K
12/11/2022,16812.00,17045.00,17105.00,16637.00,1.25K
11/11/2022,17045.00,17579.00,17665.00,16403.00,8.03K
10/11/2022,17579.00,15907.00,18155.00,15760.00,20.73K
09/11/2022,15907.00,18557.00,18597.00,15603.00,18.08K
08/11/2022,18557.00,20610.00,20692.00,16950.00,20.52K
07/11/2022,20610.00,20932.00,21083.00,20423.00,1.84K
06/11/2022,20932.00,21313.00,21378.00,20913.00,1.35K
05/11/2022,21313.00,21168.00,21470.00,21105.00,1.62K
04/11/2022,21168.00,20223.00,21290.00,20206.00,3.81K
03/11/2022,20223.00,20168.00,20403.00,20073.00,1.24K
02/11/2022,20168.00,20500.00,20816.00,20080.00,2.58K
01/11/2022,20500.00,20509.00,20689.00,20357.00,1.67K
31/10/2022,20509.00,20647.00,20843.00,20268.00,1.71K
30/10/2022,20647.00,20833.00,20949.00,20535.00,1.09K
29/10/2022,20833.00,20611.00,21074.00,20576.00,1.83K
28/10/2022,20611.00,20303.00,20764.00,20055.00,2.28K
27/10/2022,20303.00,20788.00,20892.00,20226.00,2.75K
26/10/2022,20788.00,20104.00,21011.00,20077.00,3.90K
25/10/2022,20104.00,19340.00,20430.00,19254.00,2.76K
24/10/2022,19340.00,19585.00,19601.00,19175.00,1.31K
23/10/2022,19585.00,19219.00,19707.00,19105.00,1.52K
22/10/2022,19219.00,19175.00,19272.00,19125.00,0.75K
21/10/2022,19175.00,19057.00,19260.00,18680.00,1.19K
20/10/2022,19057.00,19132.00,19345.00,18940.00,1.27K
19/10/2022,19132.00,19334.00,19361.00,19098.00,0.86K
18/10/2022,19334.00,19554.00,19705.00,19106.00,2.12K
17/10/2022,19554.00,19266.00,19683.00,19168.00,1.45K
16/10/2022,19269.00,19072.00,19428.00,19068.00,0.78K
15/10/2022,19072.00,19187.00,19227.00,18993.00,0.74K
14/10/2022,19187.00,19387.00,19946.00,19103.00,2.57K
13/10/2022,19387.00,19158.00,19503.00,18200.00,6.27K
12/10/2022,19158.00,19062.00,19232.00,19026.00,3.49K
11/10/2022,19062.00,19128.00,19260.00,18870.00,8.84K
10/10/2022,19128.00,19444.40,19527.00,19056.00,4.69K
09/10/2022,19444.40,19418.00,19551.40,19326.00,1.12K
08/10/2022,19418.00,19533.00,19621.40,19275.00,1.23K
07/10/2022,19533.00,19957.00,20053.00,19336.00,7.68K
06/10/2022,19957.00,20156.00,20444.00,19866.00,6.43K
05/10/2022,20156.00,20340.00,20363.00,19756.80,6.99K
04/10/2022,20340.00,19638.00,20470.00,19510.00,8.47K
03/10/2022,19638.00,19066.00,19688.00,18985.00,10.89K
02/10/2022,19066.00,19317.00,19396.00,18945.00,3.16K
01/10/2022,19317.00,19430.00,19485.00,19172.00,0.94K
30/09/2022,19430.00,19588.00,20171.00,19201.00,11.70K
29/09/2022,19588.00,19419.00,19651.30,18863.00,8.40K
28/09/2022,19419.00,19096.60,19783.00,18495.00,16.06K
27/09/2022,19096.60,19229.50,20373.00,18856.00,14.96K
